|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 22 |               0.0 |               0.0 |               0.0 | 0.019750956323601576 |  0.01600184978157769 |  1.829501893325516 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 10.758276823155526 | 10.758276823155526 |  20.56827682315553 |       0.0 |       0.0 |     0.0 |  0.3880741964816771 | 0.39275029080806517 | 0.38782932354025995 | 0.39294618921387187 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 23 |               0.0 |               0.0 |               0.0 |  0.01991522122003882 | 0.016133267103351338 | 1.8596125834450272 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 10.847188202165594 | 10.847188202165594 | 20.657188202165592 |       0.0 |       0.0 |     0.0 | 0.39127419649660977 |    0.39595029083061 |  0.3910293234924763 | 0.39614618915847605 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 24 |               0.0 |               0.0 |               0.0 | 0.020079496032708807 |  0.01626467640354047 | 1.8899690345334226 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 10.936099580412991 | 10.936099580412991 |  20.74609958041299 |       0.0 |       0.0 |     0.0 |  0.3944741964743652 |  0.3991502907899569 |  0.3942293235293096 |  0.3993461892137179 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 25 |               0.0 |               0.0 |               0.0 | 0.020243760861964753 | 0.016396100149646646 | 1.9205712470761114 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.025010959319443 | 11.025010959319443 | 20.835010959319444 |       0.0 |       0.0 |     0.0 |  0.3976741965001741 |  0.4023502908192895 | 0.39742932350353777 |  0.4025461891844223 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 26 |               0.0 |               0.0 |               0.0 |  0.02040803483401316 | 0.016527510987336787 | 1.9514192207780627 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.113922338023736 | 11.113922338023736 | 20.923922338023736 |       0.0 |       0.0 |     0.0 | 0.40087419646333977 |  0.4055502908010882 |  0.4006293235110119 | 0.40574618917326344 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 27 |               0.0 |               0.0 |               0.0 |  0.02057230081865829 | 0.016658927330306363 | 1.9825129555655425 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.202833716319626 | 11.202833716319626 | 21.012833716319626 |       0.0 |       0.0 |     0.0 |  0.4040741965391674 |  0.4087502908023879 |   0.403829323490046 | 0.40894618922682546 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 28 |               0.0 |               0.0 |               0.0 | 0.020736578694946245 | 0.016790347560225582 |   2.01385245199363 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.291745095785567 | 11.291745095785567 | 21.101745095785567 |       0.0 |       0.0 |     0.0 | 0.40727419640761475 | 0.41195029086397633 |  0.4070293235961706 |   0.412146189139809 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 29 |               0.0 |               0.0 |               0.0 | 0.020900828150693287 | 0.016921750507641966 |   2.04543770925675 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.380656474136087 | 11.380656474136087 | 21.190656474136087 |       0.0 |       0.0 |     0.0 | 0.41047419656474404 |  0.4151502907477415 |  0.4102293234133565 |   0.415346189230359 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 30 |               0.0 |               0.0 |               0.0 | 0.021065126977154798 | 0.017053184192751886 |   2.07726872774578 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  11.46956785248304 |  11.46956785248304 |  21.27956785248304 |       0.0 |       0.0 |     0.0 |  0.4136741964507528 | 0.41835029081316116 |  0.4134293235638737 |  0.4185461892014653 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 31 |               0.0 |               0.0 |               0.0 | 0.021229373858067682 | 0.017184591743652507 | 2.1093455077743686 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  11.55847923169425 |  11.55847923169425 | 21.368479231694252 |       0.0 |       0.0 |     0.0 | 0.41687419648328095 |  0.4215502908806823 | 0.41662932352414384 | 0.42174618912674244 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 32 |               0.0 |               0.0 |               0.0 | 0.021393649805011232 | 0.017315994930395727 | 2.1416680488127318 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 11.647390610297979 | 11.647390610297979 | 21.457390610297978 |       0.0 |       0.0 |     0.0 |  0.4200741965320589 |  0.4247502907367582 |  0.4198293234533925 |  0.4249461892486932 |
